Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  14:15:00,374155.3700629354,281779.4080924739,92375.96197046149,0.0,835287.2670401638,0.0 
 01/01  14:30:00,415402.5435598989,281779.4080924739,133623.135467425,0.0,821912.2126486958,0.0 
 01/01  14:45:00,461445.84454109569,281779.4080924739,179666.43644862175,0.0,807109.2997711117,0.0 
 01/01  15:00:00,505846.98663580117,281779.4080924739,224067.57854332723,0.0,793170.2765301676,0.0 
 01/01  15:15:00,588665.4580924739,281779.4080924739,306886.05,0.0,767188.1539640981,0.0 
 01/01  15:30:00,588665.4580924739,281779.4080924739,306886.05,0.0,770952.425490228,0.0 
 01/01  15:45:00,588665.4580924739,281779.4080924739,306886.05,0.0,774535.2882786167,0.0 
 01/01  16:00:00,588665.4580924739,281779.4080924739,306886.05,0.0,778360.7820597936,0.0 
 01/01  16:15:00,588665.4580924739,281779.4080924739,306886.05,0.0,777364.4731841623,0.0 
 01/01  16:30:00,588665.4580924739,281779.4080924739,306886.05,0.0,776177.1012634304,0.0 
 01/01  16:45:00,588665.4580924739,281779.4080924739,306886.05,0.0,774869.4583770693,0.0 
 01/01  17:00:00,588665.4580924739,281779.4080924739,306886.05,0.0,773424.3758530577,0.0 
 01/01  17:15:00,640656.7795104929,333770.729510493,306886.05,0.0,733211.6069007476,0.0 
 01/01  17:30:00,640656.7795104929,333770.729510493,306886.05,0.0,734750.6778061922,0.0 
 01/01  17:45:00,640656.7795104929,333770.729510493,306886.05,0.0,736349.2903546821,0.0 
 01/01  18:00:00,640656.7795104929,333770.729510493,306886.05,0.0,737837.2409373184,0.0 
 01/01  18:15:00,712289.250928512,385762.050928512,326527.2,0.0,685260.0520070553,0.0 
 01/01  18:30:00,712289.250928512,385762.050928512,326527.2,0.0,686953.4890207799,0.0 
 01/01  18:45:00,712289.250928512,385762.050928512,326527.2,0.0,688944.7680553268,0.0 
 01/01  19:00:00,712289.250928512,385762.050928512,326527.2,0.0,690984.5508909656,0.0 
 01/01  19:15:00,777477.3525819811,437751.6525819809,339725.7,0.0,646636.2954521761,0.0 
 01/01  19:30:00,777477.3525819811,437751.6525819809,339725.7,0.0,649054.819669068,0.0 
 01/01  19:45:00,777477.3525819811,437751.6525819809,339725.7,0.0,651795.3958080168,0.0 
 01/01  20:00:00,777477.3525819811,437751.6525819809,339725.7,0.0,654670.0238212044,0.0 
 01/01  20:15:00,829468.674,489742.97399999995,339725.7,0.0,612019.155622894,0.0 
 01/01  20:30:00,829468.674,489742.97399999995,339725.7,0.0,611350.1021903047,0.0 
 01/01  20:45:00,829468.674,489742.97399999995,339725.7,0.0,610899.6116051334,0.0 
 01/01  21:00:00,829468.674,489742.97399999995,339725.7,0.0,610532.3006806958,0.0 
 01/01  21:15:00,829468.674,489742.97399999995,339725.7,0.0,607158.1932983731,0.0 
 01/01  21:30:00,829468.674,489742.97399999995,339725.7,0.0,605897.8597322614,0.0 
 01/01  21:45:00,829468.674,489742.97399999995,339725.7,0.0,604647.5912595858,0.0 
 01/01  22:00:00,829468.674,489742.97399999995,339725.7,0.0,603416.6186853249,0.0 
 01/01  22:15:00,696458.992581981,437751.6525819809,258707.34,0.0,679052.0651604387,0.0 
 01/01  22:30:00,696458.992581981,437751.6525819809,258707.34,0.0,679283.9485761839,0.0 
 01/01  22:45:00,696458.992581981,437751.6525819809,258707.34,0.0,678780.5865137032,0.0 
 01/01  23:00:00,696458.992581981,437751.6525819809,258707.34,0.0,678055.5177330689,0.0 
 01/01  23:15:00,395147.93951049298,333770.729510493,61377.21,0.0,852448.8307689829,0.0 
 01/01  23:30:00,395147.93951049298,333770.729510493,61377.21,0.0,860419.0973677051,0.0 
 01/01  23:45:00,395147.93951049298,333770.729510493,61377.21,0.0,866640.8500493447,0.0 
 01/01  24:00:00,395147.93951049298,333770.729510493,61377.21,0.0,872256.4518395194,0.0 
 01/02  00:15:00,281779.4080924739,281779.4080924739,0.0,0.0,946266.0299973029,0.0 
 01/02  00:30:00,281779.4080924739,281779.4080924739,0.0,0.0,956041.0492170248,0.0 
 01/02  00:45:00,281779.4080924739,281779.4080924739,0.0,0.0,964992.253308613,0.0 
 01/02  01:00:00,281779.4080924739,281779.4080924739,0.0,0.0,973545.0525833701,0.0 
 01/02  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,977920.8334647406,0.0 
 01/02  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,982083.3499955298,0.0 
 01/02  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,985865.1090306203,0.0 
 01/02  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,989334.1201363253,0.0 
 01/02  02:15:00,281779.4080924739,281779.4080924739,0.0,0.0,994481.6276607257,0.0 
 01/02  02:30:00,281779.4080924739,281779.4080924739,0.0,0.0,999505.8115227216,0.0 
 01/02  02:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1004438.0356235145,0.0 
 01/02  03:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1009193.7802831056,0.0 
 01/02  03:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1011750.6070095262,0.0 
 01/02  03:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1014145.1686708499,0.0 
 01/02  03:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1016315.3873668236,0.0 
 01/02  04:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1018259.6561898773,0.0 
 01/02  04:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1020210.7719354518,0.0 
 01/02  04:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1022034.0126455166,0.0 
 01/02  04:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1023718.9567387463,0.0 
 01/02  05:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1025319.2834637914,0.0 
 01/02  05:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1025950.4694784393,0.0 
 01/02  05:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1026422.9997622446,0.0 
 01/02  05:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1026862.6898451258,0.0 
 01/02  06:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1027668.2224500906,0.0 
 01/02  06:15:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1023209.433234239,0.0 
 01/02  06:30:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1026212.371572945,0.0 
 01/02  06:45:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1029501.5534307801,0.0 
 01/02  07:00:00,301420.55809247397,281779.4080924739,19641.149999999998,0.0,1032920.8532609469,0.0 
 01/02  07:15:00,778281.750928512,385762.050928512,392519.7,0.0,789710.4789282552,0.0 
 01/02  07:30:00,778281.750928512,385762.050928512,392519.7,0.0,781363.3073735926,0.0 
 01/02  07:45:00,778281.750928512,385762.050928512,392519.7,0.0,776296.1493061276,0.0 
 01/02  08:00:00,778281.750928512,385762.050928512,392519.7,0.0,772185.2927512664,0.0 
 01/02  08:15:00,882262.674,489742.97399999995,392519.7,0.0,683286.3387372941,0.0 
 01/02  08:30:00,882262.674,489742.97399999995,392519.7,0.0,678860.9756728193,0.0 
 01/02  08:45:00,882262.674,489742.97399999995,392519.7,0.0,675208.5929224007,0.0 
 01/02  09:00:00,882262.674,489742.97399999995,392519.7,0.0,672097.308729497,0.0 
 01/02  09:15:00,778281.750928512,385762.050928512,392519.7,0.0,751953.9480678581,0.0 
 01/02  09:30:00,778281.750928512,385762.050928512,392519.7,0.0,746571.4361031356,0.0 
 01/02  09:45:00,695959.5393138923,385762.050928512,310197.4883853803,0.0,771404.9218430433,0.0 
 01/02  10:00:00,576384.1975332224,385762.050928512,190622.1466047104,0.0,813395.5399407996,0.0 
 01/02  10:15:00,393149.51125811869,281779.4080924739,111370.10316564476,0.0,926692.2856796763,0.0 
 01/02  10:30:00,319290.7955529493,281779.4080924739,37511.3874604754,0.0,950871.2064112537,0.0 
 01/02  10:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,810117.8124670622,0.0 
 01/02  11:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,686595.7639931897,0.0 
 01/02  11:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,593266.095892292,0.0 
 01/02  11:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,501673.116530338,0.0 
 01/02  11:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,505611.7834974133,0.0 
 01/02  12:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,510055.42034878276,0.0 
 01/02  12:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,511898.5173418169,0.0 
 01/02  12:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,507745.911796514,0.0 
 01/02  12:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,502498.93060661517,0.0 
 01/02  13:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,497653.5698781391,0.0 
 01/02  13:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,494185.6843715876,0.0 
 01/02  13:30:00,312468.0130924739,281779.4080924739,30688.605,0.0,491446.7858279713,0.0 
 01/02  13:45:00,312468.0130924739,281779.4080924739,30688.605,0.0,492261.31622912015,0.0 
 01/02  14:00:00,312468.0130924739,281779.4080924739,30688.605,0.0,495225.87224369138,0.0 
 01/02  14:15:00,312468.0130924739,281779.4080924739,30688.605,0.0,499080.1772810874,0.0 
 01/02  14:30:00,415782.4537440382,281779.4080924739,134003.04565156427,0.0,504423.30643465209,0.0 
 01/02  14:45:00,461735.23553406746,281779.4080924739,179955.82744159355,0.0,509398.80093492785,0.0 
 01/02  15:00:00,506017.8199344088,281779.4080924739,224238.41184193488,0.0,515454.692666868,0.0 
 01/02  15:15:00,588665.4580924739,281779.4080924739,306886.05,0.0,523926.768122255,0.0 
 01/02  15:30:00,588665.4580924739,281779.4080924739,306886.05,0.0,529271.1467130575,0.0 
 01/02  15:45:00,588665.4580924739,281779.4080924739,306886.05,0.0,534381.9274205058,0.0 
 01/02  16:00:00,588665.4580924739,281779.4080924739,306886.05,0.0,539320.1399386819,0.0 
 01/02  16:15:00,588665.4580924739,281779.4080924739,306886.05,0.0,544770.831806753,0.0 
 01/02  16:30:00,588665.4580924739,281779.4080924739,306886.05,0.0,550133.8671080367,0.0 
 01/02  16:45:00,588665.4580924739,281779.4080924739,306886.05,0.0,555309.6394270451,0.0 
 01/02  17:00:00,588665.4580924739,281779.4080924739,306886.05,0.0,560405.0774024684,0.0 
 01/02  17:15:00,640656.7795104929,333770.729510493,306886.05,0.0,522752.4146993244,0.0 
 01/02  17:30:00,640656.7795104929,333770.729510493,306886.05,0.0,526844.3486006782,0.0 
 01/02  17:45:00,640656.7795104929,333770.729510493,306886.05,0.0,530909.0537130515,0.0 
 01/02  18:00:00,640656.7795104929,333770.729510493,306886.05,0.0,534869.4324224354,0.0 
 01/02  18:15:00,712289.250928512,385762.050928512,326527.2,0.0,490143.8152059934,0.0 
 01/02  18:30:00,712289.250928512,385762.050928512,326527.2,0.0,493845.1528942856,0.0 
 01/02  18:45:00,712289.250928512,385762.050928512,326527.2,0.0,497742.3556263825,0.0 
 01/02  19:00:00,712289.250928512,385762.050928512,326527.2,0.0,501650.8022134687,0.0 
 01/02  19:15:00,777477.3525819811,437751.6525819809,339725.7,0.0,457633.4616683703,0.0 
 01/02  19:30:00,777477.3525819811,437751.6525819809,339725.7,0.0,459559.24359828009,0.0 
 01/02  19:45:00,777477.3525819811,437751.6525819809,339725.7,0.0,461812.4997372408,0.0 
 01/02  20:00:00,777477.3525819811,437751.6525819809,339725.7,0.0,464215.97978960836,0.0 
 01/02  20:15:00,829468.674,489742.97399999995,339725.7,0.0,429908.60473976368,0.0 
 01/02  20:30:00,829468.674,489742.97399999995,339725.7,0.0,440497.141120039,0.0 
 01/02  20:45:00,829468.674,489742.97399999995,339725.7,0.0,447401.6992225377,0.0 
 01/02  21:00:00,829468.674,489742.97399999995,339725.7,0.0,456306.08790170526,0.0 
 01/02  21:15:00,829468.674,489742.97399999995,339725.7,0.0,462971.75685540869,0.0 
 01/02  21:30:00,829468.674,489742.97399999995,339725.7,0.0,472366.9674528319,0.0 
 01/02  21:45:00,829468.674,489742.97399999995,339725.7,0.0,481559.6492254202,0.0 
 01/02  22:00:00,829468.674,489742.97399999995,339725.7,0.0,490563.30407682256,0.0 
 01/02  22:15:00,696458.992581981,437751.6525819809,258707.34,0.0,580386.1773102265,0.0 
 01/02  22:30:00,696458.992581981,437751.6525819809,258707.34,0.0,594136.7188686801,0.0 
 01/02  22:45:00,696458.992581981,437751.6525819809,258707.34,0.0,607127.0310197945,0.0 
 01/02  23:00:00,696458.992581981,437751.6525819809,258707.34,0.0,620081.2703250977,0.0 
 01/02  23:15:00,395147.93951049298,333770.729510493,61377.21,0.0,815674.6658803357,0.0 
 01/02  23:30:00,395147.93951049298,333770.729510493,61377.21,0.0,842528.7637406925,0.0 
 01/02  23:45:00,395147.93951049298,333770.729510493,61377.21,0.0,868559.880793678,0.0 
 01/02  24:00:00,395147.93951049298,333770.729510493,61377.21,0.0,894292.7526975263,0.0 
 01/03  00:15:00,281779.4080924739,281779.4080924739,0.0,0.0,980672.022912371,0.0 
 01/03  00:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1001884.7731116308,0.0 
 01/03  00:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1022502.4273326646,0.0 
 01/03  01:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1042821.7589244003,0.0 
 01/03  01:15:00,281779.4080924739,281779.4080924739,0.0,0.0,1054020.0182838543,0.0 
 01/03  01:30:00,281779.4080924739,281779.4080924739,0.0,0.0,1065228.6355746617,0.0 
 01/03  01:45:00,281779.4080924739,281779.4080924739,0.0,0.0,1075893.4245881602,0.0 
 01/03  02:00:00,281779.4080924739,281779.4080924739,0.0,0.0,1086007.5624172553,0.0 
