Date/Time,Electricity:Facility [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 06/25  22:00:00,2434560.2183405489,1368511.738404408,1066048.479936141,113514.30013293978,0.0,0.0 
 06/25  23:00:00,1526226.368754312,1254434.648754312,271791.72,113428.98939874218,0.0,0.0 
 06/25  24:00:00,1197395.0195587199,1197395.0195587199,0.0,634546.7438743968,0.0,0.0 
 06/26  01:00:00,1197395.0195587199,1197395.0195587199,0.0,548601.0123062024,0.0,0.0 
 06/26  02:00:00,1197395.0195587199,1197395.0195587199,0.0,381044.9315026075,0.0,0.0 
 06/26  03:00:00,1197395.0195587199,1197395.0195587199,0.0,226831.7559511784,0.0,0.0 
 06/26  04:00:00,1197395.0195587199,1197395.0195587199,0.0,117005.2421547254,0.0,0.0 
 06/26  05:00:00,1197395.0195587199,1197395.0195587199,0.0,181349.64572436433,0.0,0.0 
 06/26  06:00:00,1342047.15955872,1197395.0195587199,144652.13999999999,965945.6246092372,0.0,0.0 
 06/26  07:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,1130377.634116166,0.0,0.0 
 06/26  08:00:00,1600493.1876,1425551.3676,174941.81999999999,2378032.1059690827,0.0,0.0 
 06/26  09:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,3205272.740278242,0.0,0.0 
 06/26  10:00:00,1333290.87955872,1197395.0195587199,135895.86,4449260.820024817,0.0,0.0 
 06/26  11:00:00,1333290.87955872,1197395.0195587199,135895.86,5796778.199613221,0.0,0.0 
 06/26  12:00:00,1333290.87955872,1197395.0195587199,135895.86,5448233.99693061,0.0,0.0 
 06/26  13:00:00,1333290.87955872,1197395.0195587199,135895.86,5101759.275729804,0.0,0.0 
 06/26  14:00:00,1333290.87955872,1197395.0195587199,135895.86,5027097.750513572,0.0,0.0 
 06/26  15:00:00,1333290.87955872,1197395.0195587199,135895.86,4366077.600562337,0.0,0.0 
 06/26  16:00:00,1333290.87955872,1197395.0195587199,135895.86,3133649.9615180499,0.0,0.0 
 06/26  17:00:00,1390330.508754312,1254434.648754312,135895.86,2191409.085316583,0.0,0.0 
 06/26  18:00:00,1456126.4179499043,1311474.2779499039,144652.13999999999,876449.6739338585,0.0,0.0 
 06/26  19:00:00,1519221.814404408,1368511.738404408,150710.07599999998,939489.7512880198,0.0,0.0 
 06/26  20:00:00,1576261.4436000004,1425551.3676,150710.07599999998,966231.0545604811,0.0,0.0 
 06/26  21:00:00,1679841.1855428597,1425551.3676,254289.8179428597,904846.8200243379,0.0,0.0 
 06/26  22:00:00,2411008.194161028,1368511.738404408,1042496.4557566207,727015.9460515627,0.0,0.0 
 06/26  23:00:00,1526226.368754312,1254434.648754312,271791.72,938754.544188564,0.0,0.0 
 06/26  24:00:00,1197395.0195587199,1197395.0195587199,0.0,660016.6211047318,0.0,0.0 
 06/27  01:00:00,1197395.0195587199,1197395.0195587199,0.0,454411.59644718808,0.0,0.0 
 06/27  02:00:00,1197395.0195587199,1197395.0195587199,0.0,238322.0509060855,0.0,0.0 
 06/27  03:00:00,1197395.0195587199,1197395.0195587199,0.0,50179.24883482288,0.0,0.0 
 06/27  04:00:00,1197395.0195587199,1197395.0195587199,0.0,82721.407742834,0.0,0.0 
 06/27  05:00:00,1197395.0195587199,1197395.0195587199,0.0,549005.5658568594,0.0,0.0 
 06/27  06:00:00,1342047.15955872,1197395.0195587199,144652.13999999999,2004231.7233646329,0.0,0.0 
 06/27  07:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,4062480.61973985,0.0,0.0 
 06/27  08:00:00,1600493.1876,1425551.3676,174941.81999999999,5789969.614286944,0.0,0.0 
 06/27  09:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,7866434.917833658,0.0,0.0 
 06/27  10:00:00,1333290.87955872,1197395.0195587199,135895.86,9300376.62196726,0.0,0.0 
 06/27  11:00:00,1333290.87955872,1197395.0195587199,135895.86,9876286.621534033,0.0,0.0 
 06/27  12:00:00,1333290.87955872,1197395.0195587199,135895.86,7987424.011349019,0.0,0.0 
 06/27  13:00:00,1333290.87955872,1197395.0195587199,135895.86,8591400.59129132,0.0,0.0 
 06/27  14:00:00,1333290.87955872,1197395.0195587199,135895.86,9427492.256235498,0.0,0.0 
 06/27  15:00:00,1333290.87955872,1197395.0195587199,135895.86,9300413.714137754,0.0,0.0 
 06/27  16:00:00,1333290.87955872,1197395.0195587199,135895.86,9186112.90674841,0.0,0.0 
 06/27  17:00:00,1390330.508754312,1254434.648754312,135895.86,8298192.934512358,0.0,0.0 
 06/27  18:00:00,1456126.4179499043,1311474.2779499039,144652.13999999999,7633267.613897537,0.0,0.0 
 06/27  19:00:00,1519221.814404408,1368511.738404408,150710.07599999998,7041530.315301005,0.0,0.0 
 06/27  20:00:00,1576261.4436000004,1425551.3676,150710.07599999998,5508948.142529892,0.0,0.0 
 06/27  21:00:00,1710692.705785889,1425551.3676,285141.3381858889,3847437.4111303549,0.0,0.0 
 06/27  22:00:00,2422289.1927961597,1368511.738404408,1053777.454391752,1235110.999906186,0.0,0.0 
 06/27  23:00:00,1526226.368754312,1254434.648754312,271791.72,1138952.4428232487,0.0,0.0 
 06/27  24:00:00,1197395.0195587199,1197395.0195587199,0.0,1575764.7457612395,0.0,0.0 
 06/28  01:00:00,1197395.0195587199,1197395.0195587199,0.0,1076993.295757533,0.0,0.0 
 06/28  02:00:00,1197395.0195587199,1197395.0195587199,0.0,756383.6066587919,0.0,0.0 
 06/28  03:00:00,1197395.0195587199,1197395.0195587199,0.0,549613.529009288,0.0,0.0 
 06/28  04:00:00,1197395.0195587199,1197395.0195587199,0.0,475956.01414640268,0.0,0.0 
 06/28  05:00:00,1197395.0195587199,1197395.0195587199,0.0,730443.347207893,0.0,0.0 
 06/28  06:00:00,1342047.15955872,1197395.0195587199,144652.13999999999,1780539.68775316,0.0,0.0 
 06/28  07:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,4140473.6089471338,0.0,0.0 
 06/28  08:00:00,1600493.1876,1425551.3676,174941.81999999999,3611752.0047710326,0.0,0.0 
 06/28  09:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,5019707.226189168,0.0,0.0 
 06/28  10:00:00,1333290.87955872,1197395.0195587199,135895.86,6040912.750009286,0.0,0.0 
 06/28  11:00:00,1333290.87955872,1197395.0195587199,135895.86,7089841.496031586,0.0,0.0 
 06/28  12:00:00,1333290.87955872,1197395.0195587199,135895.86,7597385.696318956,0.0,0.0 
 06/28  13:00:00,1333290.87955872,1197395.0195587199,135895.86,8762293.893181727,0.0,0.0 
 06/28  14:00:00,1333290.87955872,1197395.0195587199,135895.86,10416767.086810012,0.0,0.0 
 06/28  15:00:00,1333290.87955872,1197395.0195587199,135895.86,10373145.377705552,0.0,0.0 
 06/28  16:00:00,1333290.87955872,1197395.0195587199,135895.86,9808795.736874227,0.0,0.0 
 06/28  17:00:00,1390330.508754312,1254434.648754312,135895.86,8850491.284532847,0.0,0.0 
 06/28  18:00:00,1456126.4179499043,1311474.2779499039,144652.13999999999,7969659.401016434,0.0,0.0 
 06/28  19:00:00,1519221.814404408,1368511.738404408,150710.07599999998,7290210.524532333,0.0,0.0 
 06/28  20:00:00,1576261.4436000004,1425551.3676,150710.07599999998,6020278.408043738,0.0,0.0 
 06/28  21:00:00,2532702.7383280519,1425551.3676,1107151.370728052,3666669.912209586,0.0,0.0 
 06/28  22:00:00,2505808.2232695419,1368511.738404408,1137296.4848651344,1261046.9190536447,0.0,0.0 
 06/28  23:00:00,1526226.368754312,1254434.648754312,271791.72,252619.63243874286,0.0,0.0 
 06/28  24:00:00,1197395.0195587199,1197395.0195587199,0.0,155891.68497728682,0.0,0.0 
 06/29  01:00:00,1197395.0195587199,1197395.0195587199,0.0,74330.77468553468,0.0,0.0 
 06/29  02:00:00,1197395.0195587199,1197395.0195587199,0.0,10256.343924619756,0.0,0.0 
 06/29  03:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,0.0,0.0 
 06/29  04:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,0.0,0.0 
 06/29  05:00:00,1197395.0195587199,1197395.0195587199,0.0,0.0,0.0,0.0 
 06/29  06:00:00,2340231.2277444747,1197395.0195587199,1142836.2081857543,372224.9943400027,0.0,0.0 
 06/29  07:00:00,2220584.665007716,1311474.2779499039,909110.3870578118,370726.34907846516,0.0,0.0 
 06/29  08:00:00,1800814.014342521,1425551.3676,375262.646742521,0.0,0.0,0.0 
 06/29  09:00:00,1486416.097949904,1311474.2779499039,174941.81999999999,0.0,0.0,0.0 
 06/29  10:00:00,1333290.87955872,1197395.0195587199,135895.86,0.0,0.0,0.0 
